iter	Passed	Remaining
997	10929	10973
998	10939	10961
999	10948	10948
1000	10958	10936
1001	10968	10924
1002	10978	10912
1003	10988	10900
1004	10998	10889
1005	11007	10876
1006	11017	10864
1007	11027	10852
1008	11037	10840
1009	11046	10827
1010	11055	10815
1011	11064	10802
1012	11074	10790
1013	11084	10778
1014	11093	10765
1015	11103	10753
1016	11112	10740
1017	11121	10728
1018	11131	10716
1019	11142	10705
1020	11153	10694
1021	11162	10682
1022	11171	10669
1023	11180	10656
1024	11190	10644
1025	11200	10632
1026	11209	10620
1027	11219	10608
1028	11227	10595
1029	11237	10582
1030	11247	10570
1031	11256	10558
1032	11266	10546
1033	11276	10535
1034	11286	10522
1035	11295	10510
1036	11304	10498
1037	11314	10486
1038	11324	10474
1039	11334	10462
1040	11343	10449
1041	11352	10437
1042	11362	10425
1043	11371	10413
1044	11381	10401
1045	11391	10389
1046	11400	10376
1047	11409	10364
1048	11419	10352
1049	11428	10339
1050	11437	10327
1051	11446	10314
1052	11455	10302
1053	11465	10290
1054	11475	10278
1055	11484	10266
1056	11493	10253
1057	11503	10241
1058	11512	10230
1059	11522	10217
1060	11532	10206
1061	11541	10194
1062	11551	10182
1063	11560	10170
1064	11571	10158
1065	11580	10146
1066	11590	10134
1067	11599	10122
1068	11608	10109
1069	11618	10097
1070	11627	10085
1071	11637	10073
1072	11646	10061
1073	11656	10050
1074	11665	10037
1075	11674	10025
1076	11685	10014
1077	11694	10002
1078	11704	9990
1079	11713	9978
1080	11723	9966
1081	11733	9954
1082	11742	9942
1083	11752	9930
1084	11762	9919
1085	11772	9907
1086	11781	9895
1087	11790	9883
1088	11799	9871
1089	11809	9859
1090	11818	9846
1091	11827	9834
1092	11837	9823
1093	11847	9811
1094	11857	9800
1095	11867	9788
1096	11876	9776
1097	11885	9764
1098	11895	9752
1099	11904	9740
1100	11913	9727
1101	11922	9715
1102	11932	9703
1103	11941	9691
1104	11951	9680
1105	11960	9668
1106	11970	9656
1107	11980	9644
1108	11989	9633
1109	11999	9621
1110	12008	9609
1111	12018	9597
1112	12028	9585
1113	12037	9573
1114	12047	9562
1115	12056	9550
1116	12066	9538
1117	12076	9526
1118	12085	9515
1119	12094	9503
1120	12104	9491
1121	12114	9479
1122	12122	9467
1123	12131	9455
1124	12141	9443
1125	12151	9432
1126	12162	9421
1127	12172	9410
1128	12182	9398
1129	12192	9387
1130	12202	9376
1131	12212	9364
1132	12221	9352
1133	12231	9340
1134	12240	9328
1135	12250	9317
1136	12259	9305
1137	12270	9294
1138	12280	9282
1139	12289	9271
1140	12299	9259
1141	12308	9247
1142	12319	9236
1143	12328	9224
1144	12337	9213
1145	12347	9201
1146	12356	9189
1147	12366	9178
1148	12376	9166
1149	12386	9155
1150	12395	9143
1151	12406	9132
1152	12415	9120
1153	12426	9109
1154	12435	9097
1155	12444	9086
1156	12454	9074
1157	12464	9062
1158	12473	9051
1159	12483	9039
1160	12493	9028
1161	12502	9016
1162	12511	9004
1163	12521	8993
1164	12531	8981
1165	12540	8969
1166	12550	8958
1167	12559	8946
1168	12568	8934
1169	12577	8922
1170	12587	8911
1171	12597	8899
1172	12606	8887
1173	12650	8900
1174	12666	8893
1175	12675	8881
1176	12685	8870
1177	12695	8858
1178	12704	8846
1179	12715	8835
1180	12724	8824
1181	12734	8812
1182	12743	8800
1183	12753	8789
1184	12762	8777
1185	12772	8766
1186	12781	8754
1187	12791	8742
1188	12801	8731
1189	12810	8720
1190	12821	8709
1191	12831	8697
1192	12841	8686
1193	12850	8674
1194	12859	8662
1195	12868	8650
1196	12878	8639
1197	12888	8627
1198	12897	8616
1199	12907	8604
1200	12916	8593
1201	12926	8581
1202	12936	8570
1203	12946	8559
1204	12955	8547
1205	12965	8536
1206	12974	8524
1207	12984	8513
1208	12994	8501
1209	13004	8490
1210	13013	8478
1211	13023	8467
1212	13035	8457
1213	13045	8446
1214	13054	8434
1215	13064	8423
1216	13073	8411
1217	13083	8400
1218	13093	8388
1219	13102	8377
1220	13112	8365
1221	13121	8354
1222	13130	8342
1223	13140	8330
1224	13149	8319
